[progress][group-start] 1/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct
swipl: /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/../../../libtinfo.so.6: no version information available (required by /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/libswipl.so.10)
/home/yuancheng/workspace/GGP/graduation_thesis/src/nn/inference.py:42: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location=device)
/home/yuancheng/anaconda3/envs/ggp_thesis/lib/python3.10/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=36/50 winner=a score_a=100.0 score_b=0.0 ply=80 elapsed_sec=40.63
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=37/50 winner=a score_a=100.0 score_b=0.0 ply=43 elapsed_sec=21.82
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=38/50 winner=a score_a=100.0 score_b=0.0 ply=68 elapsed_sec=34.53
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=39/50 winner=b score_a=0.0 score_b=100.0 ply=32 elapsed_sec=16.25
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=40/50 winner=a score_a=100.0 score_b=0.0 ply=74 elapsed_sec=37.64
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=41/50 winner=b score_a=0.0 score_b=100.0 ply=38 elapsed_sec=19.33
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=42/50 winner=a score_a=100.0 score_b=0.0 ply=78 elapsed_sec=39.66
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=43/50 winner=b score_a=0.0 score_b=100.0 ply=50 elapsed_sec=25.38
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=44/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.66
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=45/50 winner=b score_a=0.0 score_b=100.0 ply=42 elapsed_sec=21.39
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=46/50 winner=a score_a=100.0 score_b=0.0 ply=70 elapsed_sec=35.60
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=47/50 winner=b score_a=0.0 score_b=100.0 ply=34 elapsed_sec=17.32
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=48/50 winner=b score_a=0.0 score_b=100.0 ply=85 elapsed_sec=43.18
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=49/50 winner=b score_a=0.0 score_b=100.0 ply=34 elapsed_sec=17.31
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=50/50 winner=a score_a=100.0 score_b=0.0 ply=94 elapsed_sec=47.73
[progress][group-done] 2/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts n_matches=50 win_rate_a=0.500 draw_rate=0.000 elapsed_sec=1484.90
[progress][group-start] 3/6 game=connectFour pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct
[progress][match] game=connectFour pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=1/50 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.16
[progress][match] game=connectFour pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=2/50 winner=b score_a=0.0 score_b=100.0 ply=7 elapsed_sec=3.35
[progress][match] game=connectFour pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=3/50 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.17
[progress][match] game=connectFour pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=4/50 winner=a score_a=100.0 score_b=0.0 ply=8 elapsed_sec=3.68
